ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,32.7725,-0.11,40.0,655.822,0.546,37213.0,115013.0,-56.652,-108.781,-1.488,-0.332,-0.0004925727939110685,-0.0029232059287496977,0.32355472859589784,0.446,1.037,0.431,7.48,40.579,0.184,0.3,2.258,0.133,0.124,2.087,0.059
230428,32.7725,-0.11,32.0,20.738,0.212,1742.0,9408.0,-7.809,-17.822,-0.111,-0.106,-0.00082999274117606,-0.01023093441110254,0.18516156462585034,0.233,0.487,0.478,0.79,2.986,0.263,0.092,1.642,0.056,0.145,2.618,0.056
230505,32.7725,-0.11,36.0,783.015,0.028,1061.0,7908.0,-4.306,-11.467,-0.113,-0.067,-0.0005445294995228326,-0.01080802119076196,0.13416793120890239,1.735,0.481,3.607,17.06,38.296,0.445,3.0,0.47,6.383,10.5,5.114,2.053
230512,32.7725,-0.11,35.0,2456.653,0.133,447.0,2351.0,-1.93,-7.897,-0.028,-0.056,-0.0008207861348894083,-0.01766558257305649,0.1901318587834964,1.282,0.321,3.998,30.27,33.385,0.907,7.143,0.721,9.906,3.922,3.679,1.066
230519,32.7725,-0.11,40.0,21.079,0.104,20139.0,80513.0,0.771,-4.523,-0.076,-0.039,9.581940753647705e-06,-0.00022461261832801087,0.25013351881062684,6.172,1.424,4.335,21.25,8.715,2.439,0.6,0.999,0.6,0.353,2.681,0.132
230602,32.7725,-0.11,30.0,0.208,0.909,29.0,80.0,-0.066,-0.01,-0.027,-0.039,-0.0008300698242187515,-0.0003367423221982729,0.3625,2.286,0.569,4.02,0.6,0.45,1.333,2.6,1.0,2.6,1.5,0.29,5.167
230616,32.7725,-0.11,37.5,8.629,1.645,2873.0,7134.0,-0.276,-1.72,0.0,-0.01,-3.8739055765086155e-05,-0.000598756575566155,0.4027193720213064,0.788,1.101,0.716,0.88,8.513,0.103,0.098,0.428,0.229,10.0,1.735,5.764
230721,32.7725,-0.11,42.5,6.054,0.155,10507.0,39004.0,0.875,-2.001,0.012,0.015,2.2420853595344404e-05,-0.00019042280522992087,0.2693826274228284,1.336,1.067,1.253,2.08,4.145,0.502,1.0,2.213,0.452,0.591,2.032,0.291
231020,32.7725,-0.11,37.5,7.733,0.475,4039.0,11605.0,0.887,-1.384,0.057,0.047,7.644964749501834e-05,-0.00034264602468461817,0.3480396380870315,0.367,1.465,0.25,1.14,3.643,0.313,30.0,1.252,23.964,2.0,10.133,0.197
240119,32.7725,-0.11,60.0,7.005,0.291,23620.0,63069.0,5.009,-1.616,0.074,0.075,7.94245548681058e-05,-6.842517808208404e-05,0.37451045680128114,4.573,1.148,3.984,3.6,10.226,0.352,0.5,0.471,1.062,20.0,6.474,3.089
250117,32.7725,-0.11,50.0,5.947,2.965,5022.0,9394.0,2.489,-1.005,0.134,0.11,0.00026498114966168584,-0.00020020331342872582,0.5345965509899936,1.851,1.618,1.144,2.73,6.518,0.419,0.25,0.989,0.253,1.0,2.041,0.49
