ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,412.02,0.03,410.0,0.007,0.281,678709.0,4721327.0,-11.157,93.909,0.018,0.014,-2.3631954219758064e-06,0.00013836359344729406,0.1437538641148982,1.117,2.911,0.384,0.14,0.155,0.89,4.042,1.057,3.824,0.673,1.135,0.593
230424,412.02,0.03,414.0,0.081,0.889,35837.0,223755.0,2.72,5.926,0.008,0.009,1.2155354894085814e-05,0.00016535485649433546,0.1601617840942102,1.023,1.134,0.902,0.1,0.968,0.1,0.087,1.084,0.08,0.577,0.702,0.822
230425,412.02,0.03,414.0,0.1,3.217,41066.0,145615.0,2.081,4.319,0.009,0.012,1.4292181066819524e-05,0.00010516067453606501,0.2820176492806373,0.881,0.861,1.023,0.09,0.805,0.117,0.093,1.105,0.085,0.647,0.733,0.882
230426,412.02,0.03,414.0,0.115,2.445,29157.0,104474.0,1.299,2.633,0.011,0.012,1.2436619762677193e-05,9.031568570985311e-05,0.27908379118249516,1.088,1.31,0.831,0.17,0.959,0.179,0.06,1.383,0.044,0.956,1.061,0.901
230427,412.02,0.03,410.0,0.124,1.639,18628.0,60021.0,1.135,2.761,0.019,0.018,1.8902903545526606e-05,0.0001482034327642381,0.3103580413521934,0.763,0.991,0.77,0.16,0.59,0.269,0.724,1.048,0.691,0.767,0.424,1.809
230428,412.02,0.03,410.0,0.011,0.829,107197.0,949551.0,12.776,27.557,0.021,0.018,1.3454872208264221e-05,0.00025706628976638257,0.11289230383623418,2.103,2.355,0.893,0.19,0.299,0.625,3.425,6.335,0.541,0.825,1.489,0.554
230505,412.02,0.03,415.0,0.121,1.586,162179.0,844173.0,7.566,18.704,0.025,0.025,8.962581644774765e-06,0.00011533032950348023,0.19211583407666438,1.199,2.357,0.509,0.64,0.54,1.176,0.19,0.485,0.391,2.3,1.097,2.097
230512,412.02,0.03,418.0,0.054,1.366,60427.0,312532.0,3.766,8.616,0.031,0.03,1.2048645718678399e-05,0.00014258139543168595,0.19334660130802606,1.213,2.097,0.579,0.22,0.619,0.362,0.038,1.01,0.037,0.959,0.44,2.178
230519,412.02,0.03,410.0,0.017,1.333,544267.0,3249466.0,11.711,33.104,0.034,0.033,3.6039491127856224e-06,6.082392686718765e-05,0.1674942898310061,1.354,2.51,0.539,0.2,0.286,0.702,1.383,1.992,0.694,0.601,0.372,1.616
230526,412.02,0.03,417.0,0.146,0.577,38008.0,198360.0,3.628,7.356,0.037,0.038,1.8288055821468953e-05,0.00019353213359019403,0.1916112119378907,1.696,3.087,0.55,0.88,0.864,1.023,0.117,3.524,0.033,2.23,1.286,1.735
230602,412.02,0.03,407.5,0.048,1.232,9294.0,53305.0,2.049,2.248,0.044,0.041,3.843098205675183e-05,0.00024191086370354447,0.17435512616077292,4.24,0.989,4.286,0.5,0.403,1.242,118.0,0.188,627.521,0.314,0.184,1.701
230616,412.02,0.03,420.0,0.036,0.857,626781.0,3472893.0,1.209,26.594,0.035,0.039,3.4809758498137965e-07,4.2429650859488934e-05,0.18047806252596899,2.344,2.022,1.159,0.54,0.317,1.714,0.238,0.828,0.287,1.246,1.662,0.75
230630,412.02,0.03,420.0,0.028,0.526,115690.0,795313.0,1.381,18.602,0.033,0.035,1.7364593185877086e-06,0.00016078757456297163,0.14546474155458292,2.585,2.01,1.286,0.48,0.306,1.555,0.195,0.284,0.687,0.654,1.458,0.448
230721,412.02,0.03,400.0,0.115,3.468,107045.0,774944.0,-2.183,8.076,0.045,0.042,-2.8169804705889123e-06,7.544159931370131e-05,0.13813256183672626,1.888,2.252,0.838,1.06,0.459,2.318,152.429,2.078,73.346,1.559,1.053,1.481
230818,412.02,0.03,400.0,0.022,1.374,79139.0,396107.0,6.15,13.499,0.056,0.053,1.5527246905976278e-05,0.00017056804350559156,0.1997919754005862,1.367,2.181,0.627,0.12,0.564,0.21,37.429,6.054,6.183,8.667,10.498,0.826
230915,412.02,0.03,400.0,0.171,0.332,177512.0,1179386.0,-1.016,14.49,0.061,0.058,-8.617337674246059e-07,8.162996551281237e-05,0.15051221567832754,3.116,1.821,1.711,2.4,0.405,5.929,15.579,6.395,2.436,27.7,0.307,90.147
230929,412.02,0.03,430.0,0.064,0.6,23269.0,160335.0,5.075,22.315,0.054,0.056,3.165328407341128e-05,0.0009589836291364359,0.1451273895281754,2.09,1.461,1.43,0.2,0.971,0.208,0.006,1.071,0.006,4.714,1.452,3.247
