ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,412.13,0.06,410.0,0.021,0.21,678709.0,4721327.0,-101.973,-8.53,0.0,0.001,-2.1598355454832054e-05,-1.2568169269915978e-05,0.1437538641148982,1.266,2.911,0.435,0.49,0.155,3.147,15.917,1.057,15.056,0.536,1.135,0.472
230424,412.13,0.06,414.0,0.109,1.711,35837.0,223755.0,-0.067,2.913,-0.001,0.006,-2.984147536943987e-07,8.128567507182038e-05,0.1601617840942102,1.222,1.134,1.077,0.16,0.968,0.161,0.116,1.084,0.107,0.865,0.702,1.233
230425,412.13,0.06,414.0,0.463,0.518,41066.0,145615.0,-1.846,0.2,0.003,0.006,-1.2674680722609976e-05,4.866704055071974e-06,0.2820176492806373,2.22,0.861,2.579,1.1,0.805,1.365,1.905,1.105,1.724,0.491,0.733,0.67
230426,412.13,0.06,414.0,0.381,0.178,29157.0,104474.0,0.118,1.514,-0.001,0.008,1.1310266751476412e-06,5.192862590652813e-05,0.27908379118249516,0.34,1.31,0.26,0.18,0.959,0.184,0.026,1.383,0.019,0.937,1.061,0.884
230427,412.13,0.06,410.0,0.376,0.263,18628.0,60021.0,0.818,2.308,0.02,0.017,1.3632380705327358e-05,0.00012389511753874377,0.3103580413521934,8.46,0.991,8.535,5.34,0.59,9.055,0.22,1.048,0.21,0.83,0.424,1.956
230428,412.13,0.06,410.0,0.008,1.039,107197.0,949551.0,8.962,21.779,0.017,0.016,9.438184247764904e-06,0.0002031693295372837,0.11289230383623418,2.974,2.355,1.263,0.19,0.299,0.629,2.074,6.335,0.327,1.371,1.489,0.921
230505,412.13,0.06,415.0,0.155,0.771,162179.0,844173.0,7.688,17.504,0.016,0.023,9.106822136750946e-06,0.00010792714499823922,0.19211583407666438,0.874,2.357,0.371,0.59,0.54,1.091,0.5,0.485,1.03,28.5,1.097,25.984
230512,412.13,0.06,418.0,0.227,0.749,60427.0,312532.0,5.186,10.127,0.028,0.024,1.6592373279843348e-05,0.0001675878125975318,0.19334660130802606,1.683,2.097,0.803,1.29,0.619,2.089,25.6,1.01,25.354,0.57,0.44,1.295
230519,412.13,0.06,410.0,0.032,0.516,544267.0,3249466.0,10.773,28.535,0.033,0.029,3.3153848027118475e-06,5.24283811166775e-05,0.1674942898310061,4.931,2.51,1.965,1.37,0.286,4.787,6.8,1.992,3.413,0.262,0.372,0.704
230526,412.13,0.06,417.0,0.112,1.656,38008.0,198360.0,2.756,6.669,0.033,0.037,1.3895851619879688e-05,0.00017545124352643223,0.1916112119378907,1.527,3.087,0.495,0.61,0.864,0.708,0.638,3.524,0.181,6.667,1.286,5.185
230602,412.13,0.06,407.5,1.489,1.151,9294.0,53305.0,1.121,1.576,0.04,0.036,2.103834061228572e-05,0.0001695907715250915,0.17435512616077292,0.624,0.989,0.631,2.28,0.403,5.65,37.0,0.188,196.765,1.246,0.184,6.758
230616,412.13,0.06,420.0,0.052,2.095,626781.0,3472893.0,-0.724,22.24,0.031,0.037,-2.0848902360314173e-07,3.548242483273375e-05,0.18047806252596899,7.634,2.022,3.775,2.55,0.317,8.06,0.143,0.828,0.173,26.0,1.662,15.645
230630,412.13,0.06,420.0,0.085,2.71,115690.0,795313.0,0.225,17.967,0.031,0.031,2.826629153307175e-07,0.00015530032145648313,0.14546474155458292,2.042,2.01,1.016,1.13,0.306,3.702,0.065,0.284,0.23,192.667,1.458,132.161
230721,412.13,0.06,400.0,0.054,7.692,107045.0,774944.0,-2.827,7.454,0.045,0.04,-3.6484689378185046e-06,6.963164272412587e-05,0.13813256183672626,0.451,2.252,0.2,0.12,0.459,0.263,0.116,2.078,0.056,0.061,1.053,0.058
230818,412.13,0.06,400.0,0.316,0.791,79139.0,396107.0,6.601,13.193,0.056,0.053,1.6665595802767258e-05,0.00016671072560530176,0.1997919754005862,5.232,2.181,2.399,6.4,0.564,11.346,5.902,6.054,0.975,15.16,10.498,1.444
230915,412.13,0.06,400.0,0.33,0.309,177512.0,1179386.0,-1.4,13.985,0.061,0.058,-1.1870671805654506e-06,7.878087640362018e-05,0.15051221567832754,4.72,1.821,2.592,7.01,0.405,17.329,3.444,6.395,0.539,1.25,0.307,4.068
230929,412.13,0.06,430.0,0.758,0.083,23269.0,160335.0,4.859,22.279,0.049,0.055,3.0304479041729895e-05,0.0009574576999140192,0.1451273895281754,4.421,1.461,3.025,5.04,0.971,5.188,10.19,1.071,9.515,0.053,1.452,0.036
231020,412.13,0.06,445.0,4.155,394.321,36825.0,248110.0,6.167,12.595,0.055,0.06,2.485784461928666e-05,0.00034202816944420137,0.14842207085566886,1.868,1.909,0.979,4.82,3.071,1.571,0.05,1.989,0.025,6.0,9.012,0.666
231215,412.13,0.06,430.0,1.463,0.349,184675.0,1339014.0,8.239,22.033,0.062,0.07,6.153321077756162e-06,0.00011930663146766092,0.13791864760189212,1.069,1.449,0.738,1.54,1.475,1.042,0.419,0.944,0.444,23.0,7.0,3.286
231229,412.13,0.06,393.0,0.055,1.913,10450.0,58560.0,8.232,25.021,0.074,0.071,0.00014057826601090973,0.0023943767963172146,0.17844945355191258,2.125,1.326,1.602,0.4,0.387,1.03,0.5,0.081,6.144,1.0,0.588,1.7
240119,412.13,0.06,405.0,0.343,0.063,86600.0,643367.0,-1.515,3.013,0.073,0.073,-2.355497916534441e-06,3.479496760819859e-05,0.1346043549016347,1.716,1.384,1.24,1.95,0.418,4.662,30.8,1.47,20.953,0.02,0.5,0.04
240315,412.13,0.06,420.0,0.437,0.897,23015.0,143128.0,5.391,12.702,0.078,0.083,3.7663495557543136e-05,0.0005518890076180839,0.16080012296685484,0.15,2.068,0.072,0.12,1.172,0.099,0.111,1.005,0.111,9.1,6.802,1.338
240328,412.13,0.06,350.0,0.289,1.248,920.0,2279.0,2.766,4.892,0.103,0.087,0.0012136976552229277,0.005317113259025242,0.40368582711715667,0.764,0.664,1.151,0.31,0.474,0.652,0.333,0.176,1.889,0.412,0.183,2.247
240621,412.13,0.06,400.0,0.131,0.361,67209.0,457713.0,1.18,7.289,0.078,0.082,2.57850964407794e-06,0.00010845301335876304,0.14683655478432991,1.677,0.818,2.049,0.5,0.36,1.392,0.222,3.547,0.063,11.083,1.033,10.725
241220,412.13,0.06,400.0,5.668,0.244,59427.0,449961.0,-2.177,-1.61,0.092,0.091,-4.837491781941577e-06,-2.709297109180188e-05,0.1320714461920033,0.878,0.939,0.935,10.26,0.456,22.513,0.048,3.236,0.015,2.5,0.462,5.411
