ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,412.27,0.09,410.0,0.005,0.34,678709.0,4721327.0,-168.006,-74.021,-0.027,-0.02,-3.558455604501495e-05,-0.00010906122692307443,0.1437538641148982,1.109,2.911,0.381,0.11,0.155,0.685,4.22,1.057,3.992,0.605,1.135,0.533
230424,412.27,0.09,414.0,0.06,1.096,35837.0,223755.0,-2.184,1.121,-0.009,-0.005,-9.759853644593836e-06,3.1275395032706695e-05,0.1601617840942102,1.006,1.134,0.887,0.07,0.968,0.073,0.078,1.084,0.072,0.467,0.702,0.665
230425,412.27,0.09,414.0,0.083,3.543,41066.0,145615.0,-0.287,1.89,-0.005,-0.001,-1.970843902169797e-06,4.601961744770422e-05,0.2820176492806373,0.86,0.861,0.999,0.08,0.805,0.095,0.05,1.105,0.045,0.544,0.733,0.743
230426,412.27,0.09,414.0,0.102,2.559,29157.0,104474.0,-0.032,1.397,-0.001,-0.0,-3.020355325678345e-07,4.7928316642477835e-05,0.27908379118249516,1.137,1.31,0.868,0.16,0.959,0.164,0.051,1.383,0.037,0.881,1.061,0.831
230427,412.27,0.09,410.0,0.099,1.996,18628.0,60021.0,0.448,2.15,0.008,0.009,7.456828861119312e-06,0.00011541227239535451,0.3103580413521934,0.763,0.991,0.77,0.13,0.59,0.216,0.688,1.048,0.657,0.792,0.424,1.868
230428,412.27,0.09,410.0,0.009,0.973,107197.0,949551.0,6.374,21.395,0.009,0.009,6.712815943450054e-06,0.00019958220404126353,0.11289230383623418,2.043,2.355,0.868,0.15,0.299,0.485,3.123,6.335,0.493,0.759,1.489,0.51
230505,412.27,0.09,415.0,0.106,1.943,162179.0,844173.0,4.482,15.602,0.017,0.018,5.309531849360984e-06,9.620259799253626e-05,0.19211583407666438,1.122,2.357,0.476,0.52,0.54,0.958,0.199,0.485,0.409,2.604,1.097,2.374
230512,412.27,0.09,418.0,0.055,1.428,60427.0,312532.0,2.199,7.2,0.024,0.024,7.036123194344261e-06,0.00011915571310839486,0.19334660130802606,1.24,2.097,0.591,0.23,0.619,0.373,0.008,1.01,0.008,0.871,0.44,1.978
230519,412.27,0.09,410.0,0.016,1.293,544267.0,3249466.0,7.741,29.297,0.029,0.028,2.3821256379696064e-06,5.382856959007804e-05,0.1674942898310061,1.422,2.51,0.567,0.2,0.286,0.694,1.441,1.992,0.723,0.628,0.372,1.688
230526,412.27,0.09,417.0,0.147,0.536,38008.0,198360.0,2.815,6.656,0.032,0.033,1.4190778078055007e-05,0.00017511562418069516,0.1916112119378907,1.737,3.087,0.563,0.91,0.864,1.053,0.124,3.524,0.035,2.136,1.286,1.661
230602,412.27,0.09,407.5,0.044,1.222,9294.0,53305.0,1.408,1.673,0.039,0.037,2.6412998870371572e-05,0.00017997990985211174,0.17435512616077292,4.486,0.989,4.534,0.49,0.403,1.204,118.0,0.188,627.521,0.266,0.184,1.442
230616,412.27,0.09,420.0,0.038,0.738,626781.0,3472893.0,-2.648,22.94,0.031,0.035,-7.625442789536301e-07,3.659920272758129e-05,0.18047806252596899,1.865,2.022,0.922,0.45,0.317,1.413,0.237,0.828,0.286,1.156,1.662,0.695
230630,412.27,0.09,420.0,0.027,0.543,115690.0,795313.0,-0.006,17.33,0.03,0.031,-7.079523230646999e-09,0.00014979288880655433,0.14546474155458292,2.467,2.01,1.228,0.44,0.306,1.432,0.184,0.284,0.647,0.453,1.458,0.31
230721,412.27,0.09,400.0,0.126,1.976,107045.0,774944.0,-3.16,7.225,0.042,0.039,-4.077513819953366e-06,6.749946697797628e-05,0.13813256183672626,1.675,2.252,0.744,1.04,0.459,2.257,192.875,2.078,92.808,1.314,1.053,1.248
230818,412.27,0.09,400.0,0.024,1.252,79139.0,396107.0,5.749,13.154,0.053,0.05,1.4513283938180549e-05,0.0001662088462443873,0.1997919754005862,1.278,2.181,0.586,0.12,0.564,0.209,35.0,6.054,5.782,9.4,10.498,0.895
230915,412.27,0.09,400.0,0.193,0.282,177512.0,1179386.0,-1.822,13.784,0.058,0.056,-1.5448097323334216e-06,7.765172767716521e-05,0.15051221567832754,3.085,1.821,1.694,2.68,0.405,6.626,15.197,6.395,2.376,55.2,0.307,179.644
230929,412.27,0.09,430.0,0.062,0.574,23269.0,160335.0,4.452,21.756,0.051,0.054,2.776884358952364e-05,0.0009349982775385252,0.1451273895281754,2.157,1.461,1.476,0.2,0.971,0.207,0.012,1.071,0.011,4.571,1.452,3.148
231020,412.27,0.09,445.0,6.061,6.27,36825.0,248110.0,3.731,12.476,0.06,0.058,1.5038898825486901e-05,0.0003387995124065868,0.14842207085566886,1.53,1.909,0.801,5.76,3.071,1.877,2.0,1.989,1.006,54.45,9.012,6.042
231215,412.27,0.09,430.0,1.139,0.587,184675.0,1339014.0,8.342,22.081,0.065,0.068,6.230149038180482e-06,0.0001195689634470554,0.13791864760189212,1.563,1.449,1.079,1.75,1.475,1.187,22.312,0.944,23.629,4.333,7.0,0.619
231229,412.27,0.09,393.0,0.045,0.319,10450.0,58560.0,8.008,24.779,0.071,0.069,0.00013675644137820265,0.0023711530055871986,0.17844945355191258,3.04,1.326,2.292,0.47,0.387,1.218,0.5,0.081,6.144,10.6,0.588,18.018
240119,412.27,0.09,405.0,0.148,0.103,86600.0,643367.0,-1.305,3.163,0.071,0.068,-2.028134282311616e-06,3.652812670383939e-05,0.1346043549016347,2.19,1.384,1.582,1.07,0.418,2.565,61.8,1.47,42.043,1.247,0.5,2.493
240315,412.27,0.09,420.0,0.433,0.866,23015.0,143128.0,4.945,12.591,0.076,0.079,3.4552184869255474e-05,0.0005470753934480252,0.16080012296685484,0.142,2.068,0.068,0.11,1.172,0.092,0.111,1.005,0.111,3.2,6.802,0.47
240328,412.27,0.09,350.0,0.471,1.927,920.0,2279.0,2.593,4.724,0.103,0.077,0.0011377191529351393,0.005134333038081293,0.40368582711715667,1.291,0.664,1.945,0.85,0.474,1.792,0.333,0.176,1.889,28.0,0.183,152.814
240621,412.27,0.09,400.0,0.136,0.51,67209.0,457713.0,0.856,6.892,0.084,0.083,1.869904957507327e-06,0.00010254687283340586,0.14683655478432991,0.845,0.818,1.032,0.26,0.36,0.725,2.333,3.547,0.658,0.357,1.033,0.346
241220,412.27,0.09,400.0,4.375,0.17,59427.0,449961.0,0.833,3.352,0.093,0.091,1.8520503578327755e-06,5.640985089910493e-05,0.1320714461920033,0.776,0.939,0.826,7.0,0.456,15.357,5.0,3.236,1.545,2.5,0.462,5.411
250117,412.27,0.09,450.0,1.119,0.131,10608.0,47889.0,2.464,8.641,0.094,0.087,5.145938429521494e-05,0.000814609774795233,0.2215122470713525,2.993,1.221,2.452,5.93,0.69,8.596,0.133,1.722,0.077,2.25,5.686,0.396
250321,412.27,0.09,475.0,0.009,1.5,1283.0,6334.0,3.837,10.602,0.103,0.09,0.0006057141472347007,0.008263519950801285,0.20255762551310388,6.815,3.644,1.87,0.54,0.421,1.275,1.0,1.857,0.538,1.0,1.92,0.521
251219,412.27,0.09,380.0,0.084,0.659,15371.0,41018.0,5.556,11.58,0.096,0.097,0.00013545006559642473,0.000753335596999988,0.37473791993758837,1.121,0.802,1.398,0.32,0.236,1.352,1.0,1.131,0.884,3.0,0.257,11.684
