ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,411.47,-0.1,410.0,0.07,0.271,684171.0,4721327.0,-145.422,-41.343,-0.018,-0.013,-3.0801077076970225e-05,-6.04282263360891e-05,0.14491074225530237,1.111,2.911,0.382,0.91,0.251,3.616,3.81,1.057,3.604,0.61,1.135,0.538
230424,411.47,-0.1,414.0,1.199,0.371,33796.0,223755.0,-3.121,-0.017,-0.009,-0.004,-1.394857115623114e-05,-5.105281996436034e-07,0.1510402002189895,1.001,1.134,0.882,0.69,1.972,0.35,0.085,1.084,0.078,0.574,0.702,0.818
230425,411.47,-0.1,414.0,0.747,1.403,39710.0,145615.0,-0.106,1.829,-0.003,-0.001,-7.297403729641841e-07,4.606893502059855e-05,0.27270542183154206,1.075,0.861,1.249,0.55,1.247,0.445,0.062,1.105,0.056,0.653,0.733,0.891
230426,411.47,-0.1,414.0,0.941,1.194,29440.0,104474.0,-0.026,1.17,-0.003,-0.001,-2.500410211586771e-07,3.974844816456669e-05,0.2817925991155694,1.194,1.31,0.912,0.78,1.883,0.415,0.057,1.383,0.041,0.854,1.061,0.806
230427,411.47,-0.1,410.0,1.584,0.637,14909.0,60021.0,0.419,1.874,0.007,0.007,6.9768584230382475e-06,0.00012571660308868593,0.248396394595225,0.829,0.991,0.837,0.71,1.835,0.387,0.711,1.048,0.679,0.922,0.424,2.173
230428,411.47,-0.1,410.0,0.065,0.686,110475.0,949551.0,6.567,21.141,0.008,0.01,6.9161949062543275e-06,0.0001913601457915659,0.11634446175086963,2.064,2.355,0.877,0.69,0.457,1.511,2.724,6.335,0.43,0.753,1.489,0.506
230505,411.47,-0.1,415.0,0.348,1.109,162577.0,844173.0,4.452,15.3,0.018,0.018,5.273634406492544e-06,9.411220508325475e-05,0.19258730141807426,0.998,2.357,0.423,1.35,0.607,2.222,0.206,0.485,0.425,1.88,1.097,1.714
230512,411.47,-0.1,418.0,0.169,0.832,57058.0,312532.0,2.095,6.778,0.024,0.023,6.7047151324829365e-06,0.00011878277416631053,0.18256690514891274,1.403,2.097,0.669,0.6,0.822,0.734,0.007,1.01,0.007,1.272,0.44,2.888
230519,411.47,-0.1,410.0,0.036,0.73,526974.0,3249466.0,5.87,27.07,0.029,0.028,1.8063328703413704e-06,5.1369162698289305e-05,0.16217249234181863,1.294,2.51,0.516,0.35,0.332,1.05,1.439,1.992,0.722,0.6,0.372,1.613
230526,411.47,-0.1,417.0,0.369,0.343,38425.0,198360.0,2.712,6.26,0.032,0.033,1.3672925987174446e-05,0.000162914668340441,0.19371345029239767,1.108,3.087,0.359,1.23,1.029,1.192,0.161,3.524,0.046,1.719,1.286,1.337
230602,411.47,-0.1,407.5,0.073,1.569,8343.0,53305.0,1.386,1.341,0.04,0.035,2.5992781661015484e-05,0.00016074704474401485,0.15651439827408312,5.657,0.989,5.719,0.77,0.529,1.458,22.0,0.188,116.995,0.086,0.184,0.469
230616,411.47,-0.1,420.0,0.052,0.434,630443.0,3472893.0,-1.707,23.523,0.032,0.034,-4.916409721321975e-07,3.7312542115983985e-05,0.1815325148226565,1.454,2.022,0.719,0.45,0.34,1.317,0.224,0.828,0.27,1.056,1.662,0.635
230630,411.47,-0.1,420.0,0.036,0.574,117481.0,795313.0,0.104,17.129,0.03,0.031,1.3128774381375016e-07,0.00014580442541603338,0.14771668512899952,2.909,2.01,1.447,0.55,0.388,1.417,1.143,0.284,4.02,0.43,1.458,0.295
230721,411.47,-0.1,400.0,0.079,1.081,107045.0,774944.0,-2.703,7.668,0.041,0.039,-3.4873787405843687e-06,7.163628732732146e-05,0.13813256183672626,1.768,2.252,0.785,0.69,0.459,1.499,97.0,2.078,46.675,0.773,1.053,0.735
230818,411.47,-0.1,400.0,0.027,1.233,83907.0,396107.0,5.749,12.812,0.053,0.049,1.451351506719076e-05,0.00015268834043526881,0.21182912697831646,1.183,2.181,0.542,0.1,0.675,0.153,5.341,6.054,0.882,8.4,10.498,0.8
230915,411.47,-0.1,400.0,0.218,0.139,173303.0,1179386.0,-1.706,13.54,0.058,0.055,-1.4464049784819424e-06,7.813091237376498e-05,0.1469434095368268,2.869,1.821,1.575,2.58,0.441,5.862,12.5,6.395,1.955,201.0,0.307,654.138
230929,411.47,-0.1,430.0,0.067,0.495,23269.0,160335.0,4.85,22.189,0.051,0.054,3.025023372542011e-05,0.0009535723837804485,0.1451273895281754,1.873,1.461,1.281,0.19,0.971,0.194,0.024,1.071,0.022,4.5,1.452,3.099
231020,411.47,-0.1,445.0,6.186,5.431,36825.0,248110.0,3.819,12.563,0.06,0.057,1.539356633807838e-05,0.0003411509791273853,0.14842207085566886,1.479,1.909,0.775,5.69,3.071,1.852,0.05,1.989,0.025,45.6,9.012,5.06
231215,411.47,-0.1,430.0,1.41,0.546,184891.0,1339014.0,9.032,22.384,0.066,0.069,6.7453363514236044e-06,0.00012106759174082688,0.13807996032901823,1.428,1.449,0.986,1.97,1.479,1.334,40.333,0.944,42.713,5.2,7.0,0.743
231229,411.47,-0.1,393.0,0.109,0.978,10450.0,58560.0,8.057,24.863,0.071,0.069,0.0001375859473416062,0.002379251034093245,0.17844945355191258,0.927,1.326,0.699,0.35,0.387,0.893,0.5,0.081,6.144,10.333,0.588,17.564
240119,411.47,-0.1,405.0,0.15,0.088,86600.0,643367.0,-0.944,3.49,0.07,0.068,-1.4666853717156101e-06,4.030402254276409e-05,0.1346043549016347,2.27,1.384,1.641,1.12,0.418,2.688,27.6,1.47,18.777,0.921,0.5,1.84
240315,411.47,-0.1,420.0,0.397,0.951,23015.0,143128.0,4.913,12.562,0.077,0.079,3.432436287672961e-05,0.0005458339510496456,0.16080012296685484,0.187,2.068,0.09,0.13,1.172,0.112,0.222,1.005,0.221,22.75,6.802,3.345
240328,411.47,-0.1,350.0,0.277,1.133,920.0,2279.0,2.592,4.733,0.103,0.076,0.00113740447284988,0.005144582861278367,0.40368582711715667,0.821,0.664,1.237,0.32,0.474,0.67,0.333,0.176,1.889,0.412,0.183,2.247
240621,411.47,-0.1,400.0,0.136,0.53,67209.0,457713.0,1.144,7.171,0.084,0.083,2.49920165812802e-06,0.00010670293227937586,0.14683655478432991,0.833,0.818,1.017,0.26,0.36,0.713,1.222,3.547,0.345,0.267,1.033,0.258
241220,411.47,-0.1,400.0,4.019,0.165,59427.0,449961.0,0.41,3.231,0.093,0.089,9.105617537919405e-07,5.4371283509027e-05,0.1320714461920033,0.85,0.939,0.906,7.04,0.456,15.46,3.6,3.236,1.113,2.5,0.462,5.411
250117,411.47,-0.1,450.0,1.209,0.14,10608.0,47889.0,3.037,8.882,0.096,0.088,6.340878068493441e-05,0.0008373222436804217,0.2215122470713525,2.972,1.221,2.434,6.36,0.69,9.219,0.095,1.722,0.055,0.75,5.686,0.132
250321,411.47,-0.1,475.0,0.065,0.208,1283.0,6334.0,4.232,10.816,0.103,0.089,0.0006681977095271192,0.008430104300840145,0.20255762551310388,0.946,3.644,0.26,0.54,0.421,1.275,1.0,1.857,0.538,1.0,1.92,0.521
251219,411.47,-0.1,380.0,0.069,0.883,15371.0,41018.0,5.713,11.719,0.097,0.096,0.00013928192964795906,0.000762441789638119,0.37473791993758837,1.266,0.802,1.578,0.3,0.236,1.262,1.0,1.131,0.884,3.0,0.257,11.684
