ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,411.47,-0.1,410.0,0.162,0.599,684171.0,4721327.0,-170.013,-65.84,-0.058,-0.055,-3.600960477352677e-05,-9.623384984734087e-05,0.14491074225530237,1.328,2.911,0.456,2.49,0.251,9.918,9.948,1.057,9.409,0.705,1.135,0.622
230424,411.47,-0.1,414.0,3.662,0.712,33796.0,223755.0,-4.823,-1.78,-0.015,-0.026,-2.1555692409457325e-05,-5.266692793768585e-05,0.1510402002189895,1.135,1.134,1.001,2.39,1.972,1.212,0.071,1.084,0.065,1.022,0.702,1.456
230425,411.47,-0.1,414.0,1.345,2.102,39710.0,145615.0,-1.038,0.723,-0.013,-0.001,-7.1251330270064224e-06,1.8212221098078283e-05,0.27270542183154206,1.304,0.861,1.515,1.21,1.247,0.97,0.132,1.105,0.119,0.754,0.733,1.029
230426,411.47,-0.1,414.0,2.216,1.047,29440.0,104474.0,-0.776,0.409,-0.006,-0.011,-7.428204635590026e-06,1.3908279004304313e-05,0.2817925991155694,1.036,1.31,0.791,1.6,1.883,0.848,0.033,1.383,0.024,2.053,1.061,1.935
230427,411.47,-0.1,410.0,3.086,0.694,14909.0,60021.0,0.206,1.657,-0.002,0.007,3.4269075769769497e-06,0.00011112628035865501,0.248396394595225,1.446,0.991,1.459,2.41,1.835,1.313,0.794,1.048,0.758,1.817,0.424,4.284
230428,411.47,-0.1,410.0,0.061,0.826,110475.0,949551.0,1.16,16.624,-0.003,-0.0,1.2214152394254953e-06,0.00015047647531875847,0.11634446175086963,3.071,2.355,1.304,0.97,0.457,2.127,1.549,6.335,0.244,1.273,1.489,0.855
230505,411.47,-0.1,415.0,0.151,0.648,162577.0,844173.0,4.004,14.642,0.016,0.016,4.7429451201797575e-06,9.005917816358267e-05,0.19258730141807426,1.583,2.357,0.672,0.93,0.607,1.528,0.255,0.485,0.526,1.029,1.097,0.938
230512,411.47,-0.1,418.0,0.259,0.782,57058.0,312532.0,1.653,6.41,0.021,0.021,5.2894445229902205e-06,0.0001123485704862113,0.18256690514891274,1.519,2.097,0.724,1.0,0.822,1.22,2.065,1.01,2.045,1.289,0.44,2.926
230519,411.47,-0.1,410.0,0.033,1.035,526974.0,3249466.0,4.88,26.235,0.026,0.027,1.501721940436323e-06,4.9784164439424476e-05,0.16217249234181863,1.966,2.51,0.783,0.49,0.332,1.49,3.692,1.992,1.853,0.5,0.372,1.344
230526,411.47,-0.1,417.0,0.42,0.423,38425.0,198360.0,2.445,6.1,0.034,0.029,1.2325525924211844e-05,0.00015876336617503915,0.19371345029239767,1.085,3.087,0.352,1.37,1.029,1.326,0.612,3.524,0.174,1.436,1.286,1.117
230602,411.47,-0.1,407.5,0.128,2.282,8343.0,53305.0,1.289,1.274,0.041,0.033,2.418767967041634e-05,0.00015269981946674282,0.15651439827408312,9.022,0.989,9.12,2.15,0.529,4.071,1.0,0.188,5.318,0.093,0.184,0.504
230616,411.47,-0.1,420.0,0.098,0.15,630443.0,3472893.0,-2.12,22.834,0.031,0.036,-6.103836349759854e-07,3.621837009571744e-05,0.1815325148226565,1.99,2.022,0.984,1.16,0.34,3.4,0.054,0.828,0.066,1.532,1.662,0.922
230630,411.47,-0.1,420.0,0.194,0.568,117481.0,795313.0,0.198,17.415,0.027,0.029,2.4914549775908854e-07,0.00014824061717771616,0.14771668512899952,0.768,2.01,0.382,0.77,0.388,1.994,13.0,0.284,45.727,0.664,1.458,0.455
230721,411.47,-0.1,400.0,0.075,0.562,107045.0,774944.0,-3.042,7.386,0.04,0.035,-3.92607815216332e-06,6.900102674851395e-05,0.13813256183672626,1.171,2.252,0.52,0.43,0.459,0.933,0.293,2.078,0.141,13.75,1.053,13.063
230818,411.47,-0.1,400.0,0.179,0.235,83907.0,396107.0,5.567,12.674,0.052,0.048,1.4053375729362319e-05,0.0001510447641370157,0.21182912697831646,3.222,2.181,1.478,1.87,0.675,2.768,3.512,6.054,0.58,28.0,10.498,2.667
230915,411.47,-0.1,400.0,0.252,0.136,173303.0,1179386.0,-2.013,13.299,0.056,0.053,-1.7071659321864637e-06,7.673732023675573e-05,0.1469434095368268,3.593,1.821,1.973,3.74,0.441,8.489,3.606,6.395,0.564,115.0,0.307,374.258
230929,411.47,-0.1,430.0,0.544,0.057,23269.0,160335.0,4.642,22.02,0.049,0.052,2.895262865895738e-05,0.0009463171706662157,0.1451273895281754,6.305,1.461,4.314,5.16,0.971,5.31,95.439,1.071,89.12,6.0,1.452,4.132
231020,411.47,-0.1,445.0,1.288,1368.753,36825.0,248110.0,3.653,12.412,0.058,0.056,1.472482097100369e-05,0.0003370600485662498,0.14842207085566886,0.994,1.909,0.521,0.8,3.071,0.259,0.05,1.989,0.025,29.0,9.012,3.218
231215,411.47,-0.1,430.0,1.283,0.395,184891.0,1339014.0,8.641,22.084,0.063,0.068,6.45360202158934e-06,0.00011944113503290793,0.13807996032901823,1.219,1.449,0.842,1.53,1.479,1.036,10.0,0.944,10.59,5.75,7.0,0.821
231229,411.47,-0.1,393.0,0.032,3.147,10450.0,58560.0,7.864,24.697,0.07,0.069,0.00013428994115845106,0.002363371831063448,0.17844945355191258,2.076,1.326,1.565,0.23,0.387,0.589,0.5,0.081,6.144,3.222,0.588,5.477
