Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-04-21 09:30:00-04:00,411.7900085449219,411.7900085449219,411.7900085449219,411.7900085449219,1389452,0.0,0.0,0.0
2023-04-21 09:31:00-04:00,411.7900085449219,412.2200012207031,411.739990234375,412.1700134277344,362921,0.0,0.0,0.0
2023-04-21 09:32:00-04:00,412.1700134277344,412.2799987792969,412.0400085449219,412.0899963378906,273083,0.0,0.0,0.0
2023-04-21 09:33:00-04:00,412.0799865722656,412.125,411.9599914550781,411.9700012207031,127566,0.0,0.0,0.0
2023-04-21 09:34:00-04:00,411.9700012207031,412.010009765625,411.739990234375,411.7950134277344,291732,0.0,0.0,0.0
2023-04-21 09:35:00-04:00,411.79998779296875,412.0400085449219,411.739990234375,411.8550109863281,293968,0.0,0.0,0.0
2023-04-21 09:36:00-04:00,411.8500061035156,412.0199890136719,411.7799987792969,411.8800048828125,278601,0.0,0.0,0.0
2023-04-21 09:37:00-04:00,411.8900146484375,412.0,411.7799987792969,411.9599914550781,632316,0.0,0.0,0.0
2023-04-21 09:38:00-04:00,411.9549865722656,411.9949951171875,411.80999755859375,411.94000244140625,166067,0.0,0.0,0.0
2023-04-21 09:39:00-04:00,411.94000244140625,411.94500732421875,411.7900085449219,411.79998779296875,132098,0.0,0.0,0.0
2023-04-21 09:40:00-04:00,411.79998779296875,412.010009765625,411.7699890136719,411.9726867675781,144827,0.0,0.0,0.0
2023-04-21 09:41:00-04:00,411.989990234375,412.0257873535156,411.8599853515625,412.0257873535156,97017,0.0,0.0,0.0
2023-04-21 09:42:00-04:00,412.0199890136719,412.1400146484375,412.010009765625,412.07000732421875,169835,0.0,0.0,0.0
2023-04-21 09:43:00-04:00,412.07000732421875,412.0799865722656,411.8949890136719,411.9100036621094,173832,0.0,0.0,0.0
2023-04-21 09:44:00-04:00,411.9100036621094,411.9599914550781,411.8699951171875,411.9599914550781,86231,0.0,0.0,0.0
2023-04-21 09:45:00-04:00,411.9700012207031,412.2099914550781,411.7699890136719,411.989990234375,265299,0.0,0.0,0.0
2023-04-21 09:46:00-04:00,411.989990234375,412.2099914550781,411.8599853515625,411.989990234375,205570,0.0,0.0,0.0
2023-04-21 09:47:00-04:00,411.9849853515625,412.1600036621094,411.8789978027344,412.1600036621094,190330,0.0,0.0,0.0
2023-04-21 09:48:00-04:00,412.1400146484375,412.260009765625,412.0299987792969,412.0899963378906,167180,0.0,0.0,0.0
2023-04-21 09:49:00-04:00,412.07000732421875,412.1600036621094,411.9800109863281,412.010009765625,112161,0.0,0.0,0.0
