ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,164.2209,0.76,180.0,2.62,0.871,293850.0,1639215.0,-419.376,-548.078,-1.51,-0.807,-0.00025583948638557917,-0.0018651623934496705,0.17926263485875862,0.917,0.699,1.313,0.73,2.316,0.313,0.465,0.958,0.486,1.415,1.703,0.831
230428,164.2209,0.76,170.0,22.287,0.513,71079.0,364694.0,-53.955,-52.942,-0.238,-0.239,-0.0001479460003017138,-0.0007448383765122093,0.19490038223826003,0.998,0.727,1.374,2.7,5.993,0.45,0.438,0.787,0.556,1.431,1.874,0.764
230505,164.2209,0.76,180.0,71.845,0.357,31140.0,130959.0,-32.5,-45.108,-0.185,-0.141,-0.0002481664197352558,-0.0014485391956640498,0.23778434471857604,1.168,0.815,1.433,6.88,9.946,0.692,0.033,0.817,0.041,1.992,1.495,1.332
230512,164.2209,0.76,185.0,17.263,0.336,10569.0,55722.0,-18.484,-26.598,-0.152,-0.116,-0.0003317271345405612,-0.0025165935400931158,0.18967373748250244,0.547,0.821,0.667,1.08,7.161,0.151,0.047,0.276,0.169,0.558,1.515,0.368
230519,164.2209,0.76,200.0,30.721,0.872,191919.0,622986.0,-13.754,-18.163,-0.176,-0.077,-2.207832680797204e-05,-9.46375568971025e-05,0.30806310254163016,1.923,1.126,1.707,15.04,4.423,3.401,0.042,0.532,0.078,0.336,1.413,0.238
230526,164.2209,0.76,175.0,2.873,0.604,5195.0,33030.0,-3.085,-4.081,-0.051,-0.039,-9.339227926893524e-05,-0.0007856321558580593,0.15728125946109597,1.404,1.598,0.879,3.76,1.713,2.197,1.305,0.665,1.961,0.549,1.525,0.36
230602,164.2209,0.76,170.0,13.693,0.425,2340.0,12689.0,-1.593,-3.92,-0.053,-0.048,-0.00012552269759363432,-0.0016750065957093852,0.18441169516904404,1.015,0.869,1.168,3.72,3.247,1.145,0.103,0.278,0.369,0.101,2.338,0.043
230616,164.2209,0.76,200.0,73.645,0.663,305412.0,1471901.0,15.652,-49.752,-0.059,-0.027,1.0633547141597606e-05,-0.0001629012657875877,0.2074949334228321,5.271,0.732,7.202,92.63,3.067,30.198,0.034,0.707,0.048,2.537,1.478,1.716
230721,164.2209,0.76,200.0,11.754,0.266,102684.0,392070.0,-2.473,-0.06,-0.01,-0.003,-6.307518573387113e-06,-5.825322210512565e-07,0.2619022113398118,1.279,0.994,1.287,4.59,3.258,1.409,0.622,0.908,0.685,0.053,2.403,0.022
230818,164.2209,0.76,120.0,0.872,1.685,45951.0,102900.0,-2.53,-5.756,-0.016,0.003,-2.45867690758293e-05,-0.00012526394133370548,0.4465597667638484,0.808,0.829,0.974,0.8,0.732,1.092,0.098,0.126,0.779,0.091,11.202,0.008
